p_values,agent_rewards,greedy_rewards,random_rewards,agent_std,greedy_std,random_std,greedy_actions_pct,agent_vs_greedy_diff,identical_solutions_pct,better_solutions_pct,worse_solutions_pct,constraint_count,agent_greedy_corr,agent_random_corr,greedy_random_corr
0.0,-6.772442113096879,-7.106416346055333,-13.13900939114998,0.6441934824516199,0.6061923417212782,1.1615112951078947,65.88,0.33397423295845385,0.0,68.0,32.0,0.0,0.5872304879755696,0.5502555053653883,0.4692557371556857
0.005,-6.8124881262747445,-7.094856806533438,-13.0449374453662,0.5199934448092686,0.5720235258215194,1.0942256208605077,64.92,0.28236868025869377,0.0,71.0,28.999999999999996,1.56,0.6074762228167198,0.37729539767971876,0.39357470722682536
0.01,-6.9518833642950035,-7.267262423516262,-13.144734408160488,0.5298714137771824,0.5844325278132091,1.1236068632797374,66.04,0.3153790592212582,0.0,70.0,30.0,3.25,0.4734716329138652,0.5803513302717096,0.4972101988565627
0.02,-7.18042132627992,-7.477780842181653,-13.180327600506676,0.6664636390340867,0.7515177598590385,1.0531731534382522,69.52,0.29735951590173304,0.0,72.0,28.000000000000004,6.89,0.6315628879442193,0.4563146618187471,0.4892719854588605
0.03,-7.212857855478901,-7.586391777741261,-13.116319656989969,0.6068039688872249,0.6181709797743147,1.1564383799678197,66.88,0.37353392226235993,0.0,68.0,32.0,11.02,0.4166532416001509,0.4863135882694406,0.31856592454008853
0.04,-7.355215457505666,-7.778328097447542,-13.09091983610168,0.682128404784462,0.8033901680610144,1.080525448904594,68.0,0.4231126399418761,0.0,78.0,22.0,15.45,0.6286451161315983,0.46036286877288435,0.4246442141470911
0.05,-7.635710335333484,-8.07194489435326,-13.181703274823924,0.6938425634193951,0.8093892801027415,1.0052776237890606,69.04,0.43623455901977604,0.0,77.0,23.0,21.02,0.6519839141369334,0.4779207120825649,0.3999578436104396
0.06,-7.7661655205646625,-8.1781055224615,-12.88957986217549,0.7212498798319771,0.7703148458914096,1.0846815884181262,68.6,0.41194000189683777,0.0,72.0,28.000000000000004,28.18,0.6114413686520201,0.4153740490275556,0.4419156671250187
0.07,-7.971068657219453,-8.46986790292021,-12.97751897586329,0.8065187515116848,0.8328047880714546,1.0400992947923424,68.92,0.4987992457007575,0.0,75.0,25.0,35.57,0.5474846209742583,0.45862164877356215,0.4076589465372049
0.08,-8.044698642838119,-8.567038834647327,-13.022457512430892,0.6568133362345249,0.7284697353895332,1.0789440601910694,68.44,0.5223401918092083,0.0,74.0,26.0,41.66,0.48494433231145995,0.480634161713323,0.33080444949170523
0.09,-8.292070892531207,-8.738295826597822,-13.055476884466998,0.8383787627227421,0.9198273422588435,1.1362653432041354,68.44,0.4462249340666151,0.0,71.0,28.999999999999996,48.64,0.630318813634688,0.45740652235942714,0.4635044542170532
0.1,-8.57281516506083,-9.071976081781736,-13.17801350039182,0.8685567798849728,0.897827939201421,1.1559814181322698,68.08,0.499160916720907,0.0,70.0,30.0,61.54,0.5691894546165666,0.5724152281913258,0.5192458610143939
0.125,-8.856129881087679,-9.379845235947627,-13.05354997897307,0.8251588240760798,0.8820708573208633,1.0603324165312284,68.8,0.5237153548599487,0.0,75.0,25.0,82.37,0.5060960794285445,0.4320792961967323,0.33213457626095216
0.15,-9.144175854233726,-9.696518837533919,-13.257185544648467,0.823697854742403,0.9225245797692997,1.0555225600910767,69.16,0.5523429833001927,0.0,78.0,22.0,104.16,0.5916718017126189,0.6052446196583613,0.4324347819759102
0.2,-9.494410938804783,-9.876295684995226,-13.012271735558494,0.9568003895522825,1.0035312013997706,1.0489188464545989,70.16,0.3818847461904422,0.0,69.0,31.0,147.52,0.7719296824535421,0.5986780651942264,0.5588435552256398
0.3,-10.747358364825482,-11.073471702770663,-13.244447739769699,0.9774560260769635,1.0162876884009906,0.9958344317081753,75.68,0.3261133379451806,0.0,72.0,28.000000000000004,208.54,0.7945864574121724,0.5997795108518773,0.6604705703696988
2.0,-8.717289032182576,-9.083163868025762,-13.2055894463299,1.4037293812204024,1.4091922791567937,1.0630324569100345,71.8,0.3658748358431865,1.0,73.0,26.0,80.72,0.8622530093667226,0.20120865335552213,0.24930069366999008
